,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD),Close Percent Change
1037,2017-02-01,963.367211,981.87599498,962.59125998,981.20375431,58819.34101403,57713758.22910888,0.01835331226638237
1038,2017-02-02,982.03752656,1007.84944124,974.14842475,1004.30421288,68395.89312927,68690283.61320986,0.023542978171995133
1039,2017-02-03,1004.75573526,1020.15612756,996.0535158,1013.93909486,80155.98179826,81273283.63219726,0.009593589130100666
1040,2017-02-04,1015.23705202,1033.79756562,1000.84013876,1027.76505685,56778.35699378,58354811.30342566,0.013635890025434971
1041,2017-02-05,1027.48651029,1028.8778502,1005.09232038,1010.42564218,45699.38555795,46175830.99983689,-0.016870990655338813
1042,2017-02-06,1009.86420013,1026.42264413,1009.41747788,1022.84150354,44232.22701917,45242557.58927817,0.01228775363738066
1043,2017-02-07,1023.24474789,1051.65806373,1022.51832195,1050.02393149,58411.27193766,61333233.40327778,0.026575405726031898
1044,2017-02-08,1049.72030256,1066.01956329,1025.94322414,1050.4633752999996,88067.25537741,92511426.33724742,0.000418508375686244
1045,2017-02-09,1050.77992783,1075.06134471,944.41012083,982.95467934,198703.2214779,195316261.35102168,-0.06426563509719696
1046,2017-02-10,984.22717696,1001.01397524,950.46449305,993.3841936,90049.85072044,89454098.34169461,0.01061037144357746
1047,2017-02-11,992.91421442,1009.84104792,986.31974358,1005.69172097,41413.45925594,41649173.11060198,0.012389493862790202
1048,2017-02-12,1004.61134486,1004.61134486,994.18284769,996.14210266,24647.19883518,24552112.47235204,-0.009495572162798838
1049,2017-02-13,996.21500144,1001.86454186,976.71479439,996.79838328,47603.94785363,47451538.25802797,0.0006588222887553563
1050,2017-02-14,996.34428347,1015.08308971,990.8448608,1009.38100765,54826.77326848,55341103.64802562,0.012623038501122341
1051,2017-02-15,1009.66148117,1012.21823892,1002.90113465,1010.44191202,32359.41928425,32697313.49341777,0.001051044513379562
1052,2017-02-16,1010.36642475,1040.20063098,1010.28030382,1035.12102413,54385.51477684,56295589.75384274,0.02442407803597879
1053,2017-02-17,1034.43525778,1057.69076053,1033.25434946,1052.22312975,63766.48996777,67096575.64733909,0.016521841621731204
1054,2017-02-18,1052.56053821,1064.32281173,1050.42664236,1055.62210956,38285.72432346,40415257.07623474,0.00323028425616112
1055,2017-02-19,1055.64449375,1058.01256064,1043.30517796,1050.90948881,25125.72575498,26404863.6092252,-0.0044643065992281405
1056,2017-02-20,1050.72084343,1084.82438034,1043.43633397,1084.33658853,44320.45425842,48058290.17256597,0.03180778180797583
1057,2017-02-21,1081.61777088,1126.12212123,1077.74027231,1123.36024584,81432.30940747,91477819.11498871,0.03598850921640784
1058,2017-02-22,1123.58795554,1133.8095400999996,1102.83325797,1123.69762712,68916.68082005,77441510.70614092,0.0003003322231220906
1059,2017-02-23,1123.26558099,1184.68121646,1119.81905048,1170.89112823,90840.88918232,106364791.22411668,0.04199839883168166
1060,2017-02-24,1177.46768413,1206.66874718,1118.91807544,1179.64195458,163997.71858716,193458589.30030963,0.007473646472348161
1061,2017-02-25,1179.39034432,1181.77918058,1127.12018006,1149.49612392,63974.30070448,73538210.69060199,-0.02555506825012266
1062,2017-02-26,1150.46609619,1177.65914672,1133.07968967,1173.94085591,46381.85384893,54449553.20615549,0.021265606278548344
1063,2017-02-27,1173.41672263,1193.99912141,1171.32588655,1190.47332662,47123.95617065,56099812.86596333,0.014082882137349761
1064,2017-02-28,1190.89303634,1207.26207997,1181.0197492,1188.03507724,62946.67906388,74782862.72366421,-0.002048134406272495
1065,2017-03-01,1188.03775705,1224.9761708,1185.78147246,1222.55212718,70893.76631621,86671324.81366871,0.029053897987750377
1066,2017-03-02,1224.84679655,1278.37679679,1213.93145958,1255.67819643,112440.977623,141189683.98691025,0.027095833800077074
1067,2017-03-03,1255.71036866,1289.00619918,1255.71036866,1285.39174389,88390.69306037,113616667.09681912,0.023663345867179997
1068,2017-03-04,1285.18957365,1285.72459928,1240.27060241,1267.04227897,53391.60502535,67649420.90908125,-0.014275387256237337
1069,2017-03-05,1265.9702145,1273.54820294,1246.7057729,1273.31304205,36778.25055532,46830226.09596657,0.004949134834788094
1070,2017-03-06,1273.5430914,1280.57101011,1267.5445272,1277.45142842,44072.10399376,56299972.20018938,0.0032500934439008144
1071,2017-03-07,1277.59814548,1278.23627475,1193.006444,1233.13043836,125587.86744802,154866222.03855142,-0.03469485341984224
1072,2017-03-08,1232.6066244,1240.67520606,1148.93081622,1150.74431133,136659.81716093,157260507.18470982,-0.06681055342334197
1073,2017-03-09,1151.12514049,1206.41759581,1137.5416794000002,1192.63244537,84250.75594531,100480185.08768176,0.03640090472538304
1074,2017-03-10,1192.83746725,1284.67875703,1050.52593998,1110.09274889,285098.23319884,316485481.3961034,-0.06920799178358172
1075,2017-03-11,1114.98570524,1196.08180269,1110.67522742,1177.63497432,99172.82604086,116789388.44805892,0.060843767782049474
1076,2017-03-12,1178.01556102,1233.11213888,1174.59797862,1225.28045508,63048.23905231,77251775.03794003,0.04045861561432629
1077,2017-03-13,1225.00016573,1245.03566034,1214.36779278,1238.08703828,77939.90831677,96496390.25176288,0.010451960730218035
1078,2017-03-14,1239.0061737,1252.12717559,1225.56332214,1243.44474226,56011.78062522,69647554.12289128,0.004327404951628644
1079,2017-03-15,1243.24656719,1255.49601162,1242.0698803,1253.22808963,58290.17594411,73050885.84245385,0.007867938990371526
1080,2017-03-16,1253.33620575,1255.13712569,1138.83901033,1179.9149205999995,149954.35881789998,176933385.37847757,-0.05849946201863809
1081,2017-03-17,1174.33493813,1174.33493813,1077.06780274,1082.43754494,192083.14156626,207918004.18157217,-0.08261390203492913
1082,2017-03-18,1076.22510467,1100.87358598,947.21998507,970.19069769,240410.85129285,233244371.54863715,-0.10369822053448996
1083,2017-03-19,972.43082722,1060.20939686,972.43082722,1020.22953321,123252.58285661,125745925.07532704,0.051576288701944195
1084,2017-03-20,1024.10421511,1057.00195656,1020.81282385,1048.42978828,84543.65701359,88638088.42324299,0.02764108874722737
1085,2017-03-21,1049.60282887,1124.72912019,1049.60282887,1121.30647653,111355.01867757,124863103.63776362,0.06951031825369802
1086,2017-03-22,1122.14376737,1122.14376737,1002.56005286,1043.25190447,128124.51643755,133666145.78268078,-0.06961038190160829
1087,2017-03-23,1044.86574228,1059.26415694,1024.97437748,1037.54683056,70446.63349213,73091681.30330504,-0.005468548761383141
1088,2017-03-24,1037.63998792,1038.74575457,934.59564247,942.2882068,150000.22947394,141343447.25108203,-0.09181139680084183
1089,2017-03-25,943.04991491,978.87401804,897.37407631,972.52185483,153474.79703988,149257594.28741542,0.03208535118217504
1090,2017-03-26,972.20400491,1004.67395283,954.45775777,967.48384856,107323.8033328,103834046.29083958,-0.005180352755034701
1091,2017-03-27,970.05196739,1047.02618275,964.69037219,1046.10583705,107783.60960463,112753063.14591315,0.0812643938263371
1092,2017-03-28,1045.56599508,1067.36280311,1020.44610388,1045.55902052,101568.79531326,106196170.14313538,-0.0005227162593240964
1093,2017-03-29,1045.58777119,1056.96245868,1013.05695303,1042.14462398,88586.39325021,92319833.48338269,-0.0032656181745741586
1094,2017-03-30,1043.04244697,1052.56899175,1025.92174746,1039.7345524,90035.8190112,93613351.97961111,-0.002312607602192318
1095,2017-03-31,1039.27627292,1088.05168382,1039.27627292,1079.03593159,104737.55072565,113015580.6195262,0.03779943553792786
1096,2017-04-01,1080.49889506,1103.02552669,1071.17744329,1087.68447853,64683.12588837,70354832.05174005,0.008015068531829206
1097,2017-04-02,1087.60590296,1110.48122646,1079.61986251,1100.66373784,72433.80106267,79725258.22333647,0.011932926842480596
1098,2017-04-03,1101.47262798,1157.3060097,1101.47262798,1148.42772194,107983.7674412,124011552.04856688,0.04339561889604404
1099,2017-04-04,1149.31412534,1159.58666309,1127.04247861,1142.13327471,82832.40041254,94605640.73564766,-0.005480925886539034
1100,2017-04-05,1143.99790652,1145.11488566,1116.44990502,1131.52420309,83785.79440142,94805654.24007206,-0.009288821063981212
1101,2017-04-06,1132.70038941,1202.32699374,1132.70038941,1192.25376297,103626.46351164,123549041.0645259,0.05367057966074262
1102,2017-04-07,1190.65040929,1202.15415773,1177.52739804,1192.08240511,76632.25393203,91351961.57640491,-0.00014372599636258698
1103,2017-04-08,1192.17474362,1197.63695249,1171.45013386,1180.44165118,46042.89878451,54350955.46619435,-0.00976505808667305
1104,2017-04-09,1181.1464334,1215.27058899,1179.29403899,1207.42166415,54444.09030706,65736974.12194799,0.022855863263576026
1105,2017-04-10,1208.04642021,1218.77422862,1202.3188730999998,1209.8453916,49187.75447476,59509578.07435835,0.0020073579280246445
1106,2017-04-11,1210.7979668,1231.03522139,1203.96694613,1224.27785683,55060.05890413,67408810.91198717,0.011929181472446926
1107,2017-04-12,1225.06641276,1227.45127263,1213.93693193,1216.63400816,55625.83535794,67676283.02865277,-0.00624355707109836
1108,2017-04-13,1216.6371869000004,1222.17250034,1162.40564158,1178.71466155,82249.44776934,96948629.99015293,-0.031167422869715633
1109,2017-04-14,1180.40178048,1200.27393695,1176.62663468,1191.20217465,65978.06545024,78593215.04377665,0.010594178139414101
1110,2017-04-15,1191.1108502,1199.99019985,1170.62163499,1182.47460398,38032.92916129,44972972.84837813,-0.007326691350747705
1111,2017-04-16,1183.13450015,1193.6916083,1181.88019836,1188.56876331,26223.5470711,31168488.91185433,0.005153733796470661
1112,2017-04-17,1188.34898603,1214.7847603,1185.16546726,1210.80337352,57137.22000997,69181938.741383,0.0187070457312708
1113,2017-04-18,1210.15651761,1235.0226034000002,1209.63471797,1226.59157887,58276.50397509999,71481469.02210884,0.013039446119233356
1114,2017-04-19,1226.71867158,1230.10926467,1216.41123872,1223.79625739,54592.09181307,66809597.64390673,-0.002278934184902215
1115,2017-04-20,1224.62878802,1266.02837893,1224.29133066,1257.72320989,64640.87246018,81300325.60082167,0.027722713070193805
1116,2017-04-21,1259.44221266,1277.2103582999996,1257.70993743,1263.76627235,52672.53113417,66565768.32645428,0.004804763410964252
1117,2017-04-22,1264.07621975,1270.94098338,1230.74861585,1265.41008709,54305.95928794,68719308.67215623,0.0013007268637919012
1118,2017-04-23,1265.72104436,1268.37621113,1254.02195778,1263.52638166,54137.01052229,68403541.01909852,-0.0014886126238584652
1119,2017-04-24,1263.80346165,1269.62891992,1253.34714132,1266.61463862,46739.98302884,59201546.71325459,0.002444157086726406
1120,2017-04-25,1266.17037211,1287.65595158,1263.39780951,1281.67042656,54584.12897952,69958863.87272197,0.011886636614592883
1121,2017-04-26,1282.56679032,1319.56550723,1282.28076051,1305.1669872000002,76047.34018738,99254477.87671322,0.01833276336340628
1122,2017-04-27,1305.42085257,1346.99984094,1302.58325959,1343.60026802,78106.60806698,104944059.53262857,0.029447021873002965
1123,2017-04-28,1342.93184911,1357.98860126,1303.7279417000002,1341.81805045,91795.2155398,123172477.15634093,-0.0013264492516261717
1124,2017-04-29,1339.74579645,1354.60661776,1332.18440117,1344.83217335,48894.01554598,65754245.19060542,0.0022462977741199985
1125,2017-04-30,1344.95591854,1362.53883744,1328.13338983,1359.44685227,47762.54937991,64930647.41092928,0.010867288282964349
1126,2017-05-01,1360.15333076,1456.73679208,1357.61834071,1436.5809052000004,113082.61465875,162452324.928312,0.05673929275072598
1127,2017-05-02,1434.09009238,1492.02951953,1427.95225044,1463.71336348,86077.94213154,125993434.19872458,0.018886829263697003
1128,2017-05-03,1464.04600159,1507.92388267,1452.01450649,1503.25160472,99121.64288759,149004768.73290822,0.027012284116882723
1129,2017-05-04,1504.84231151,1608.72373432,1452.22918557,1526.87858014,162945.53954139,248798054.05569705,0.01571724609893277
1130,2017-05-05,1527.27581547,1592.26707117,1499.48910932,1514.40489015,130809.55227798,198098625.64785808,-0.008169405316339029
1131,2017-05-06,1512.9984215999998,1558.36061269,1512.9984215999998,1546.30830615,66977.18223288,103567373.20901756,0.021066635618721463
1132,2017-05-07,1546.83934116,1568.38412238,1533.99564015,1564.70038388,69876.27608908,109335436.02043007,0.011894185433041216
1133,2017-05-08,1563.79192405,1662.30967723,1563.79192405,1662.30967723,120124.91371099,199684806.53848085,0.06238209842318665
1134,2017-05-09,1662.36593404,1763.7104976,1642.4563150999998,1709.00066229,140857.76640973,240726016.08347327,0.028088018556087446
1135,2017-05-10,1711.00112927,1766.06845561,1686.08607197,1754.02719686,113231.90794387,198611846.08564025,0.026346703991130038
1136,2017-05-11,1754.87306913,1851.42201678,1737.0552721,1821.65899311,122540.17437781,223226410.6723999,0.038558008890097195
1137,2017-05-12,1825.28987368,1827.21735591,1658.24646267,1697.62068732,122698.36827993,208295288.29297855,-0.06809084810008137
1138,2017-05-13,1695.02518181,1772.45024694,1614.65434739,1768.940061,85505.94182068,151254885.94031647,0.04201137168785962
1139,2017-05-14,1771.3376749,1808.85356646,1753.88239095,1783.21321684,44496.46223152,79346679.55381697,0.008068761714815409
1140,2017-05-15,1784.81842932,1785.54435334,1681.31851812,1722.56311699,89770.92835357,154636090.15995887,-0.034011692644067004
1141,2017-05-16,1719.53884606,1751.41143067,1680.24812101,1731.92065181,91754.00299532,158910652.67363897,0.005432332045023358
1142,2017-05-17,1731.01711567,1834.76871308,1713.19169924,1808.62618643,114292.03556312,206711568.41941065,0.04428928920030861
1143,2017-05-18,1808.83014253,1884.64135936,1803.08627131,1882.8598286,93672.74893478,176372656.00397548,0.04104421506609257
1144,2017-05-19,1882.0376292,1967.31270541,1882.0376292,1964.36519008,104173.57848329,204634951.29893348,0.0432880665049844
1145,2017-05-20,1962.5555218,2041.47785984,1959.46056057,2041.47785984,89858.18904782,183443503.466858,0.03925577084618337
1146,2017-05-21,2039.77123557,2085.86212969,1996.30796295,2036.37801824,81619.54349621,166208244.23448536,-0.002498112617493553
1147,2017-05-22,2036.2059219,2242.35379892,2017.91441202,2117.01564781,179591.45788741,380197926.5613815,0.0395985562836183
1148,2017-05-23,2112.32784614,2264.73683509,2112.32784614,2259.96099725,119168.69053248,269316592.69704354,0.0675221033854303
1149,2017-05-24,2264.50246142,2479.89648446,2264.50246142,2439.0727155,152717.98117270006,372490261.04434097,0.07925434043682578
1150,2017-05-25,2433.4988706,2748.48441603,2230.59816008,2296.2603167,249493.64747371,572902361.9637097,-0.058551923397955674
1151,2017-05-26,2299.37782732,2576.37556366,2061.46729662,2208.89922187,198086.37314143,437552835.49495286,-0.03804494385703994
1152,2017-05-27,2211.68283183,2289.3074317,1856.11642659,2006.28384151,190801.27852599,382801522.0469136,-0.09172685578134743
1153,2017-05-28,2025.52388992,2270.45615751,2025.52388992,2146.0765887,106529.46235135,228620385.15851325,0.06967745256064406
1154,2017-05-29,2145.23984325,2307.27586481,2084.85164205,2257.68270142,87440.38283486,197412639.73215064,0.05200472029174241
1155,2017-05-30,2259.03857953,2307.56130734,2155.98603518,2184.17165532,122258.06235929,267032594.43901527,-0.03256039746141659
1156,2017-05-31,2195.8898466,2303.82740405,2152.42163055,2278.46019201,122076.74959814,278147014.3295063,0.04316901396478645
1157,2017-06-01,2281.68026573,2437.63687821,2281.68026573,2394.03906443,114931.04521501,275149411.96077806,0.05072674643397623
1158,2017-06-02,2395.20221242,2473.91459838,2366.61513942,2473.91459838,88704.69993812,219447852.12195587,0.0333643402636028
1159,2017-06-03,2472.41891833,2556.34121028,2427.58984697,2534.51712282,70111.78393898,177699516.90447193,0.02449661135420156
