,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD),Close Percent Change
1219,2018-12-09,91.20861271,99.07362772,89.85460058,94.48895042,1588905.1332821,150133978.36115324,0.03145742669785534
1218,2018-12-08,93.5233411,97.74474616,85.65512084,91.60722292,1982027.0313431,181567992.09889552,-0.016410375111496792
1217,2018-12-07,91.07819549999999,96.57240893,82.97686033,93.13561327,3431615.21875336,319605587.890468,0.0194552240189223
1216,2018-12-06,101.78435149,103.57879078,91.10842663,91.35821866,2527568.86097305,230914188.67094383,-0.10306142796612484
1215,2018-12-05,110.18743722,110.59253153,101.8556025,101.8556025,1646338.76192922,167688826.51293218,-0.0741410968045576
1214,2018-12-04,108.44236179,113.19683091,107.04997224,110.01201387,1265085.70510938,139174626.13959938,0.014751999609692978
1213,2018-12-03,116.21162952,116.39427140000002,107.25169343,108.41270962,1378360.5746633,149431804.7289709,-0.06658064288208554
1212,2018-12-02,118.4238,120.29837485,115.92759219,116.14576963,948423.70940758,110155401.6682469,-0.019368246715413484
1211,2018-12-01,113.28839823,120.31526838,111.41557305,118.43973973,1263123.91806685,149604068.1037201,0.04718937211925689
1210,2018-11-30,117.54543862,119.42703719,111.68064909,113.10250359999999,1599960.40358599,180959527.3142056,-0.037071055409183096
1209,2018-11-29,122.63656465,123.27695134,115.00069274,117.45674926,1751987.21506342,205782723.03176272,-0.04009028060693165
1208,2018-11-28,109.99762299,125.42217821,109.99762299,122.36228771,2238263.9797959,273879101.07501185,0.1141275979696248
1207,2018-11-27,108.20898888,111.91783558,101.99850448,109.82789398,1997690.69371941,219402161.72250888,0.014979358333182313
1206,2018-11-26,116.17840709,118.19332927,105.12764283,108.20702222,2761639.3765819,298828773.3980196,-0.0712432813444892
1205,2018-11-25,112.46844229,118.90856965,100.65895165,116.50739106,3021321.21479084,352006252.29007244,0.03088181795981582
1204,2018-11-24,122.82915521,126.92938703,109.98457443,113.01721403,1767642.46503436,199774026.8053001,-0.08046616606838998
1203,2018-11-23,124.64829059,126.32051237,119.14160117,122.90707515,2010526.51804761,247107933.84951892,-0.02037231716816279
1202,2018-11-22,136.17620682,137.81320902,125.46304816,125.46304816,1358787.64851816,170477640.18454778,-0.08139264311679484
1201,2018-11-21,130.62615148,138.83959298,125.08518265,136.57962482,2277471.11895097,311056150.9657151,0.04376939639072375
1200,2018-11-20,147.84521778,150.89249361,125.28938329,130.85229869,3715693.67285424,486207058.33166784,-0.11801003439537527
1199,2018-11-19,176.62296793,176.62296793,145.51363032,148.36030317,2539537.5960175,376766567.65545726,-0.1568206181007602
1198,2018-11-18,173.31528840000001,178.85428407,173.30440073,175.9534286,830377.69902273,146107803.17577502,0.01590523928620602
1197,2018-11-17,174.08745662,174.79808698,172.0214625,173.19866243,752348.29530276,130305718.42893526,-0.006366708188513036
1196,2018-11-16,180.57483764,180.8738599,171.29153195,174.30843336,1145309.04920343,199637026.0755184,-0.03498831159376825
1195,2018-11-15,181.73411239,184.06185138,168.54671179,180.62831306,1705277.39556363,308021379.255382,0.0005654339860829972
1194,2018-11-14,204.92427736,206.20583178,171.21168102,180.52623739,2319251.42249155,418685732.8714552,-0.1196188558829454
1193,2018-11-13,209.58818624,209.76117758,204.45483927,205.05463866,773971.13556705,158706371.53869414,-0.022526322093294304
1192,2018-11-12,210.59125963,211.79160642,208.30975504,209.78021536,686135.26773247,143937604.2275983,-0.003496143783660033
1191,2018-11-11,211.18199814,211.82150776,207.75622506,210.5162103,654582.55740303,137800239.31039408,-0.002195276976145521
1190,2018-11-10,209.5358438,212.83795623,209.34091896,210.97936845,586785.71951343,123799680.51578486,0.0062712825033974795
1189,2018-11-09,212.6486088,214.02030861,208.23910999,209.66450312,657499.81985574,137854373.02890074,-0.012379203038117459
