,,Date,Open*,High,Low,Close**,Volume,Market Cap
63,,"Dec 13, 2018",0.395931,0.396431,0.367783,0.371319,"3,643,571","86,524,966"
64,,"Dec 12, 2018",0.381392,0.402857,0.379235,0.395619,"4,767,994","92,187,307"
65,,"Dec 11, 2018",0.395346,0.402014,0.374525,0.382781,"4,519,597","89,195,739"
66,,"Dec 10, 2018",0.425869,0.431660,0.390871,0.396430,"5,787,336","92,376,409"
67,,"Dec 09, 2018",0.389397,0.448367,0.383543,0.428854,"7,122,841","99,931,748"
68,,"Dec 08, 2018",0.357803,0.399798,0.357182,0.389502,"8,325,544","90,761,971"
69,,"Dec 07, 2018",0.354771,0.367220,0.317466,0.357208,"6,927,462","83,236,757"
70,,"Dec 06, 2018",0.440427,0.446083,0.352750,0.354883,"7,388,161","82,694,921"
71,,"Dec 05, 2018",0.512332,0.518456,0.441033,0.441033,"5,703,721","102,769,621"
72,,"Dec 04, 2018",0.529349,0.534331,0.503999,0.511695,"5,427,586","119,235,383"
73,,"Dec 03, 2018",0.554503,0.556663,0.522326,0.530658,"5,392,997","123,654,143"
74,,"Dec 02, 2018",0.572374,0.581256,0.550725,0.556319,"5,308,969","129,633,827"
75,,"Dec 01, 2018",0.555739,0.586378,0.547779,0.573718,"4,917,736","133,688,076"
76,,"Nov 30, 2018",0.601793,0.605347,0.542363,0.553444,"6,165,590","128,963,843"
77,,"Nov 29, 2018",0.620506,0.623830,0.587399,0.600312,"5,799,246","139,884,892"
78,,"Nov 28, 2018",0.531897,0.634093,0.531114,0.617843,"7,795,350","143,970,068"
79,,"Nov 27, 2018",0.542945,0.566567,0.509572,0.530749,"4,202,070","123,675,383"
80,,"Nov 26, 2018",0.579148,0.604555,0.522723,0.544008,"5,296,420","126,765,001"
81,,"Nov 25, 2018",0.575682,0.583211,0.500774,0.582393,"6,725,080","135,709,492"
82,,"Nov 24, 2018",0.600245,0.650789,0.564368,0.574118,"7,467,560","133,781,247"
83,,"Nov 23, 2018",0.597890,0.610105,0.570026,0.598712,"4,189,120","139,512,153"
84,,"Nov 22, 2018",0.661879,0.662540,0.599417,0.599417,"3,609,720","139,676,432"
85,,"Nov 21, 2018",0.610077,0.664050,0.590613,0.662860,"4,929,100","154,459,950"
86,,"Nov 20, 2018",0.735063,0.749023,0.548785,0.600378,"10,048,800","139,900,365"
87,,"Nov 19, 2018",0.881646,0.887660,0.729005,0.738096,"6,670,580","171,991,478"
88,,"Nov 18, 2018",0.887733,0.894695,0.862832,0.883765,"5,931,060","205,935,338"
89,,"Nov 17, 2018",0.892136,0.930862,0.841240,0.886400,"7,403,360","206,549,346"
90,,"Nov 16, 2018",0.935202,0.941304,0.862779,0.888302,"4,384,130","206,992,551"
91,,"Nov 15, 2018",0.944176,0.953866,0.834486,0.932691,"7,827,080","217,336,097"
92,,"Nov 14, 2018",1.12,1.14,0.890066,0.941166,"7,472,910","219,310,946"
93,,"Nov 13, 2018",1.15,1.15,1.12,1.12,"4,525,070","261,966,275"
94,,"Nov 12, 2018",1.15,1.18,1.14,1.15,"5,086,740","267,397,982"
95,,"Nov 11, 2018",1.17,1.17,1.14,1.16,"4,387,300","269,248,165"
96,,"Nov 10, 2018",1.16,1.19,1.15,1.17,"4,771,910","273,286,410"
97,,"Nov 09, 2018",1.16,1.18,1.14,1.16,"5,386,200","271,065,725"
98,,"Nov 08, 2018",1.30,1.31,1.04,1.16,"5,133,580","270,760,468"
99,,"Nov 07, 2018",1.20,1.37,1.13,1.30,"12,449,400","302,071,429"
100,,"Nov 06, 2018",1.20,1.38,1.18,1.20,"5,913,640","280,822,292"
101,,"Nov 05, 2018",1.17,1.23,1.15,1.19,"12,559,000","278,203,142"
102,,"Nov 04, 2018",1.19,1.19,1.15,1.17,"6,134,960","273,023,097"
103,,"Nov 03, 2018",1.19,1.20,1.18,1.19,"4,814,720","276,998,426"
104,,"Nov 02, 2018",1.18,1.21,1.18,1.19,"4,615,220","276,669,867"
105,,"Nov 01, 2018",1.14,1.25,1.14,1.18,"4,996,010","275,171,545"
106,,"Oct 31, 2018",1.14,1.16,1.11,1.14,"4,287,940","266,253,852"
107,,"Oct 30, 2018",1.18,1.20,1.13,1.14,"7,014,420","265,853,057"
108,,"Oct 29, 2018",1.28,1.28,1.17,1.18,"8,554,310","275,199,508"
109,,"Oct 28, 2018",1.26,1.31,1.24,1.28,"5,669,330","298,436,309"
110,,"Oct 27, 2018",1.28,1.28,1.25,1.25,"4,080,210","292,387,098"
111,,"Oct 26, 2018",1.26,1.30,1.20,1.28,"8,256,250","298,322,129"
112,,"Oct 25, 2018",1.29,1.29,1.25,1.26,"5,881,570","293,657,059"
113,,"Oct 24, 2018",1.30,1.33,1.29,1.29,"6,371,100","301,076,431"
114,,"Oct 23, 2018",1.29,1.35,1.27,1.30,"9,524,670","302,847,387"
115,,"Oct 22, 2018",1.38,1.38,1.27,1.29,"12,515,600","300,130,368"
116,,"Oct 21, 2018",1.42,1.42,1.36,1.38,"9,684,750","320,971,719"
117,,"Oct 20, 2018",1.37,1.47,1.34,1.42,"20,153,200","331,550,849"
118,,"Oct 19, 2018",1.24,1.36,1.24,1.36,"9,382,160","315,856,920"
119,,"Oct 18, 2018",1.26,1.28,1.23,1.24,"8,594,530","290,007,959"
120,,"Oct 17, 2018",1.20,1.29,1.19,1.26,"13,630,900","294,232,620"
121,,"Oct 16, 2018",1.18,1.22,1.17,1.19,"7,316,560","278,093,622"
122,,"Oct 15, 2018",1.15,1.20,1.12,1.18,"13,623,500","274,754,439"
123,,"Oct 14, 2018",1.11,1.19,1.10,1.14,"8,014,960","265,692,273"
124,,"Oct 13, 2018",1.12,1.14,1.09,1.11,"8,355,600","257,629,764"
125,,"Oct 12, 2018",1.07,1.15,1.06,1.12,"8,578,590","260,768,550"
126,,"Oct 11, 2018",1.33,1.33,1.06,1.08,"19,495,500","250,921,105"
127,,"Oct 10, 2018",1.09,1.32,1.08,1.32,"32,338,100","307,048,746"
128,,"Oct 09, 2018",1.07,1.09,1.06,1.08,"5,877,390","252,743,325"
129,,"Oct 08, 2018",1.06,1.09,1.05,1.07,"4,624,690","248,791,298"
130,,"Oct 07, 2018",1.06,1.06,1.05,1.06,"4,958,620","246,694,113"
131,,"Oct 06, 2018",1.07,1.07,1.05,1.06,"4,812,020","246,430,800"
132,,"Oct 05, 2018",1.06,1.07,1.04,1.06,"4,889,260","247,954,754"
133,,"Oct 04, 2018",1.06,1.08,1.05,1.06,"4,594,480","246,109,232"
134,,"Oct 03, 2018",1.06,1.07,1.01,1.06,"5,638,700","246,239,723"
135,,"Oct 02, 2018",1.07,1.10,1.04,1.05,"7,158,970","245,808,636"
136,,"Oct 01, 2018",1.07,1.16,1.03,1.08,"9,948,200","250,611,188"
137,,"Sep 30, 2018",1.09,1.09,1.04,1.07,"7,739,710","249,112,866"
138,,"Sep 29, 2018",0.992843,1.09,0.974689,1.09,"6,502,250","254,463,016"
139,,"Sep 28, 2018",1.01,1.02,0.991403,0.999351,"4,814,910","232,869,242"
140,,"Sep 27, 2018",0.968860,1.01,0.959666,1.01,"5,092,940","235,833,029"
141,,"Sep 26, 2018",0.964604,1.01,0.939138,0.968896,"6,870,160","225,772,603"
142,,"Sep 25, 2018",0.980157,0.980157,0.940043,0.963156,"5,883,500","224,435,066"
143,,"Sep 24, 2018",1.02,1.02,0.963317,0.975978,"5,187,410","227,422,854"
144,,"Sep 23, 2018",1.01,1.05,0.996526,1.02,"5,590,280","237,478,154"
145,,"Sep 22, 2018",1.05,1.07,0.984606,1.01,"7,263,840","235,380,969"
146,,"Sep 21, 2018",0.984446,1.05,0.975083,1.05,"8,081,370","245,319,293"
147,,"Sep 20, 2018",0.935901,0.985744,0.924706,0.984592,"4,814,290","229,430,093"
148,,"Sep 19, 2018",0.947563,0.947835,0.908957,0.937182,"4,685,850","218,382,592"
149,,"Sep 18, 2018",0.909761,0.955338,0.907018,0.946182,"4,414,580","220,479,776"
150,,"Sep 17, 2018",0.986757,1.00,0.889297,0.910160,"4,932,990","212,085,913"
151,,"Sep 16, 2018",1.01,1.01,0.971994,0.988406,"4,584,330","230,318,833"
152,,"Sep 15, 2018",0.980004,1.03,0.973722,1.01,"5,412,740","236,296,740"
153,,"Sep 14, 2018",0.914305,1.03,0.903603,0.978467,"8,942,980","228,002,842"
154,,"Sep 13, 2018",0.862471,0.933048,0.861110,0.915175,"5,229,720","213,254,511"
155,,"Sep 12, 2018",0.876060,0.878196,0.818848,0.860509,"4,300,740","200,516,213"
156,,"Sep 11, 2018",0.904499,0.915730,0.866484,0.874707,"3,545,440","203,824,638"
157,,"Sep 10, 2018",0.930719,0.942901,0.895255,0.902874,"3,323,650","210,388,126"
158,,"Sep 09, 2018",0.910754,0.957965,0.879082,0.928855,"3,526,990","216,442,231"
159,,"Sep 08, 2018",0.968184,0.989841,0.902761,0.912286,"3,023,600","212,581,314"
160,,"Sep 07, 2018",0.998512,1.02,0.964032,0.967573,"5,657,200","225,464,317"
161,,"Sep 06, 2018",0.989375,0.995309,0.938888,0.995309,"9,349,190","231,927,373"
162,,"Sep 05, 2018",1.18,1.19,0.992171,0.992171,"9,805,330","231,196,155"
163,,"Sep 04, 2018",1.18,1.21,1.17,1.18,"18,850,600","274,847,647"
164,,"Sep 03, 2018",1.17,1.19,1.14,1.18,"5,384,020","275,325,339"
165,,"Sep 02, 2018",1.20,1.22,1.16,1.17,"6,708,540","272,512,782"
166,,"Sep 01, 2018",1.15,1.23,1.15,1.20,"5,621,970","279,855,257"
167,,"Aug 31, 2018",1.10,1.15,1.08,1.15,"5,125,600","268,290,451"
168,,"Aug 30, 2018",1.14,1.15,1.07,1.10,"5,302,950","255,481,315"
169,,"Aug 29, 2018",1.22,1.22,1.12,1.14,"7,318,490","266,214,238"
170,,"Aug 28, 2018",1.11,1.22,1.11,1.22,"7,004,820","284,371,194"
171,,"Aug 27, 2018",1.03,1.11,1.02,1.11,"9,071,060","259,274,889"
172,,"Aug 26, 2018",1.04,1.05,0.995600,1.03,"5,847,540","239,600,970"
173,,"Aug 25, 2018",1.04,1.05,1.01,1.04,"5,076,910","243,014,720"
174,,"Aug 24, 2018",0.992134,1.04,0.970992,1.04,"7,979,690","242,460,131"
175,,"Aug 23, 2018",0.968436,0.991038,0.957948,0.990381,"5,625,420","230,779,048"
176,,"Aug 22, 2018",1.01,1.07,0.951519,0.966823,"4,217,910","225,289,552"
177,,"Aug 21, 2018",0.979989,1.04,0.964182,1.01,"3,683,990","234,861,334"
178,,"Aug 20, 2018",1.11,1.14,0.975531,0.995482,"4,323,720","231,967,686"
179,,"Aug 19, 2018",1.06,1.15,1.03,1.11,"10,544,500","258,363,779"
180,,"Aug 18, 2018",1.18,1.25,1.02,1.07,"9,879,600","248,851,883"
181,,"Aug 17, 2018",0.915704,1.18,0.913467,1.17,"10,989,200","272,598,999"
182,,"Aug 16, 2018",0.911588,0.962776,0.908143,0.916252,"5,779,940","213,505,474"
183,,"Aug 15, 2018",0.913542,0.984148,0.898753,0.911297,"8,922,700","212,350,857"
184,,"Aug 14, 2018",1.04,1.04,0.865914,0.908546,"21,858,700","211,709,818"
185,,"Aug 13, 2018",1.14,1.15,1.03,1.04,"14,551,800","241,935,835"
186,,"Aug 12, 2018",1.14,1.17,1.11,1.13,"4,336,670","263,718,589"
187,,"Aug 11, 2018",1.22,1.23,1.11,1.15,"7,105,690","267,987,524"
188,,"Aug 10, 2018",1.28,1.30,1.22,1.22,"8,645,390","284,909,471"
189,,"Aug 09, 2018",1.27,1.36,1.21,1.30,"10,002,400","302,521,158"
190,,"Aug 08, 2018",1.61,1.61,1.20,1.28,"15,209,600","297,268,877"
191,,"Aug 07, 2018",1.67,1.72,1.62,1.62,"6,256,840","376,854,689"
192,,"Aug 06, 2018",1.69,1.73,1.66,1.67,"6,981,050","390,134,525"
193,,"Aug 05, 2018",1.67,1.71,1.65,1.69,"8,725,820","393,555,266"
194,,"Aug 04, 2018",1.75,1.77,1.65,1.67,"14,359,300","389,349,246"
195,,"Aug 03, 2018",1.74,1.77,1.68,1.75,"10,317,000","408,319,443"
196,,"Aug 02, 2018",1.82,1.88,1.72,1.73,"12,890,500","403,922,347"
197,,"Aug 01, 2018",1.87,1.89,1.79,1.82,"11,807,900","424,178,816"
198,,"Jul 31, 2018",2.01,2.01,1.82,1.87,"22,586,000","435,524,583"
199,,"Jul 30, 2018",2.04,2.08,1.95,2.01,"24,293,900","468,170,751"
200,,"Jul 29, 2018",2.05,2.12,1.94,2.04,"47,997,700","475,235,932"
201,,"Jul 28, 2018",1.96,2.03,1.94,2.00,"20,715,200","465,642,479"
202,,"Jul 27, 2018",1.89,1.99,1.87,1.96,"140,428,992","456,421,859"
203,,"Jul 26, 2018",1.94,1.99,1.87,1.89,"6,226,660","439,670,017"
204,,"Jul 25, 2018",1.95,2.01,1.90,1.94,"8,739,620","451,929,224"
205,,"Jul 24, 2018",1.91,2.00,1.87,1.96,"8,618,010","455,585,316"
206,,"Jul 23, 2018",1.81,1.99,1.81,1.91,"9,836,990","446,110,703"
207,,"Jul 22, 2018",1.83,1.86,1.80,1.81,"4,697,850","422,503,399"
208,,"Jul 21, 2018",1.79,1.84,1.76,1.82,"5,107,930","424,957,105"
209,,"Jul 20, 2018",1.94,1.94,1.78,1.80,"6,474,240","418,346,314"
210,,"Jul 19, 2018",1.96,1.99,1.89,1.94,"7,083,000","451,670,572"
211,,"Jul 18, 2018",2.05,2.11,1.95,1.97,"10,476,400","459,448,795"
212,,"Jul 17, 2018",1.90,2.07,1.80,2.05,"8,709,620","477,531,184"
213,,"Jul 16, 2018",1.76,1.90,1.75,1.90,"5,697,960","443,566,120"
214,,"Jul 15, 2018",1.70,1.80,1.69,1.76,"5,554,860","411,206,567"
215,,"Jul 14, 2018",1.70,1.72,1.68,1.70,"3,963,970","395,694,394"
216,,"Jul 13, 2018",1.67,1.73,1.66,1.70,"6,051,460","396,253,643"
217,,"Jul 12, 2018",1.75,1.76,1.64,1.66,"4,787,970","386,972,438"
218,,"Jul 11, 2018",1.77,1.80,1.68,1.75,"6,136,150","408,475,567"
219,,"Jul 10, 2018",2.00,2.01,1.76,1.76,"7,126,930","410,528,477"
220,,"Jul 09, 2018",2.12,2.13,2.01,2.01,"7,326,140","467,481,011"
221,,"Jul 08, 2018",2.18,2.21,2.12,2.13,"5,602,700","495,224,428"
222,,"Jul 07, 2018",2.16,2.18,2.05,2.18,"5,760,560","508,161,725"
223,,"Jul 06, 2018",2.16,2.18,2.04,2.16,"6,606,360","502,776,622"
224,,"Jul 05, 2018",2.43,2.62,2.10,2.16,"8,318,730","503,431,409"
225,,"Jul 04, 2018",2.06,2.62,2.01,2.41,"16,924,200","560,854,644"
226,,"Jul 03, 2018",2.13,2.25,2.06,2.07,"12,572,500","483,496,508"
227,,"Jul 02, 2018",1.94,2.14,1.91,2.13,"7,878,110","495,869,895"
228,,"Jul 01, 2018",1.98,2.01,1.87,1.93,"6,716,010","450,717,518"
229,,"Jun 30, 2018",1.83,1.99,1.82,1.98,"8,135,970","461,506,366"
230,,"Jun 29, 2018",1.69,1.84,1.68,1.83,"4,996,920","425,996,376"
231,,"Jun 28, 2018",1.86,1.88,1.68,1.70,"5,538,540","395,706,045"
232,,"Jun 27, 2018",1.82,1.88,1.78,1.86,"5,326,250","433,853,826"
233,,"Jun 26, 2018",1.94,1.95,1.81,1.82,"5,696,920","423,687,143"
234,,"Jun 25, 2018",1.81,2.03,1.77,1.94,"7,712,770","452,591,003"
235,,"Jun 24, 2018",1.93,1.94,1.65,1.82,"8,945,510","424,011,042"
236,,"Jun 23, 2018",2.06,2.08,1.88,1.93,"7,124,730","450,789,754"
237,,"Jun 22, 2018",2.51,2.52,2.04,2.05,"10,237,400","478,705,607"
238,,"Jun 21, 2018",2.58,2.59,2.47,2.50,"6,584,990","583,427,337"
239,,"Jun 20, 2018",2.62,2.63,2.54,2.59,"6,353,640","603,252,719"
240,,"Jun 19, 2018",2.66,2.66,2.57,2.62,"8,045,220","609,968,369"
241,,"Jun 18, 2018",2.57,2.69,2.49,2.66,"7,718,300","620,363,412"
242,,"Jun 17, 2018",2.61,2.64,2.57,2.58,"6,170,950","600,552,012"
243,,"Jun 16, 2018",2.60,2.65,2.54,2.60,"6,001,520","606,647,827"
244,,"Jun 15, 2018",2.71,2.72,2.60,2.60,"8,315,630","606,981,047"
245,,"Jun 14, 2018",2.53,2.73,2.50,2.71,"13,826,000","632,347,655"
246,,"Jun 13, 2018",2.70,2.71,2.39,2.54,"14,042,900","591,056,428"
247,,"Jun 12, 2018",3.02,3.02,2.66,2.70,"11,382,600","628,747,489"
248,,"Jun 11, 2018",2.93,3.07,2.68,3.02,"19,592,900","704,803,041"
249,,"Jun 10, 2018",3.46,3.46,2.86,2.92,"15,299,200","680,149,475"
250,,"Jun 09, 2018",3.54,3.64,3.45,3.45,"10,889,700","803,324,096"
251,,"Jun 08, 2018",3.71,3.72,3.45,3.54,"15,887,200","825,759,307"
252,,"Jun 07, 2018",3.60,3.95,3.60,3.70,"34,614,700","862,296,917"
253,,"Jun 06, 2018",3.40,3.63,3.31,3.60,"21,125,100","838,107,062"
254,,"Jun 05, 2018",3.27,3.40,3.14,3.40,"11,743,500","793,322,858"
255,,"Jun 04, 2018",3.52,3.55,3.21,3.26,"11,345,900","760,219,969"
256,,"Jun 03, 2018",3.63,3.63,3.50,3.53,"13,644,200","822,203,415"
257,,"Jun 02, 2018",3.13,3.66,3.13,3.63,"20,200,200","845,743,143"
258,,"Jun 01, 2018",3.16,3.18,3.10,3.13,"9,692,680","730,286,160"
259,,"May 31, 2018",3.12,3.21,3.09,3.15,"13,373,800","734,645,973"
260,,"May 30, 2018",3.18,3.26,3.06,3.12,"12,293,500","727,725,265"
261,,"May 29, 2018",2.98,3.24,2.92,3.18,"13,158,300","739,956,509"
262,,"May 28, 2018",3.20,3.27,2.98,2.98,"12,002,400","695,272,503"
263,,"May 27, 2018",3.19,3.21,3.13,3.20,"8,927,240","745,616,576"
264,,"May 26, 2018",3.18,3.30,3.14,3.19,"11,145,500","744,388,559"
265,,"May 25, 2018",3.29,3.31,3.13,3.19,"16,894,400","743,430,844"
266,,"May 24, 2018",3.01,3.29,2.93,3.28,"22,681,500","764,549,490"
267,,"May 23, 2018",3.57,3.58,2.97,3.02,"29,381,100","704,262,433"
268,,"May 22, 2018",3.83,3.87,3.56,3.58,"16,629,300","833,938,326"
269,,"May 21, 2018",4.01,4.03,3.80,3.84,"20,805,600","894,097,221"
270,,"May 20, 2018",3.86,4.09,3.81,4.00,"19,896,500","933,107,179"
271,,"May 19, 2018",3.81,3.91,3.75,3.85,"17,843,700","896,961,043"
272,,"May 18, 2018",3.78,3.90,3.71,3.81,"22,553,500","887,619,252"
273,,"May 17, 2018",3.96,4.19,3.77,3.79,"24,890,100","882,269,102"
274,,"May 16, 2018",4.37,4.47,3.81,3.95,"35,955,400","920,698,838"
275,,"May 15, 2018",3.95,4.54,3.95,4.39,"46,922,500","1,024,090,022"
276,,"May 14, 2018",3.97,4.06,3.72,3.95,"23,706,700","920,801,367"
277,,"May 13, 2018",3.90,4.14,3.64,3.97,"28,659,500","925,391,871"
278,,"May 12, 2018",3.87,4.05,3.27,3.89,"31,698,900","907,120,735"
279,,"May 11, 2018",4.39,4.49,3.78,3.89,"28,206,300","905,790,189"
280,,"May 10, 2018",4.68,4.87,4.41,4.42,"37,152,500","1,030,710,133"
281,,"May 09, 2018",4.55,4.82,4.26,4.67,"37,066,500","1,088,795,147"
282,,"May 08, 2018",4.17,4.65,4.17,4.55,"41,134,700","1,060,038,090"
283,,"May 07, 2018",4.28,4.36,3.91,4.16,"32,083,100","968,621,829"
284,,"May 06, 2018",4.59,4.64,4.07,4.28,"32,105,500","997,108,581"
285,,"May 05, 2018",4.75,5.00,4.54,4.59,"41,873,600","1,068,774,028"
286,,"May 04, 2018",4.54,4.84,4.39,4.77,"34,764,600","1,110,729,364"
287,,"May 03, 2018",4.64,4.82,4.51,4.58,"28,820,300","1,066,716,457"
288,,"May 02, 2018",4.60,4.85,4.52,4.64,"46,875,900","1,081,620,446"
289,,"May 01, 2018",4.52,4.68,4.07,4.68,"32,280,600","1,090,340,072"
290,,"Apr 30, 2018",5.02,5.13,4.33,4.49,"55,883,600","1,045,884,427"
291,,"Apr 29, 2018",4.23,5.86,4.23,4.99,"139,216,992","1,162,998,186"
292,,"Apr 28, 2018",2.90,4.44,2.88,4.26,"88,865,904","991,942,518"
293,,"Apr 27, 2018",2.62,3.17,2.57,2.90,"37,519,600","676,467,751"
294,,"Apr 26, 2018",2.30,2.64,2.27,2.61,"22,985,000","609,232,024"
295,,"Apr 25, 2018",2.59,2.59,2.20,2.29,"16,416,000","532,603,242"
296,,"Apr 24, 2018",2.33,2.63,2.33,2.62,"19,955,100","609,805,255"
297,,"Apr 23, 2018",2.32,2.42,2.31,2.33,"16,280,400","542,536,905"
298,,"Apr 22, 2018",1.98,2.45,1.97,2.32,"23,847,500","540,271,946"
299,,"Apr 21, 2018",2.06,2.09,1.85,1.98,"15,568,100","461,212,760"
300,,"Apr 20, 2018",1.99,2.10,1.96,2.06,"17,785,400","479,045,817"
301,,"Apr 19, 2018",1.86,2.01,1.85,1.99,"13,536,700","464,405,141"
302,,"Apr 18, 2018",1.73,1.87,1.72,1.86,"11,675,500","432,439,392"
303,,"Apr 17, 2018",1.78,1.81,1.72,1.73,"9,716,440","402,421,695"
304,,"Apr 16, 2018",1.83,1.83,1.70,1.78,"10,605,600","414,885,960"
305,,"Apr 15, 2018",1.72,1.83,1.72,1.83,"7,301,330","425,707,431"
306,,"Apr 14, 2018",1.68,1.80,1.66,1.72,"6,076,820","401,750,596"
307,,"Apr 13, 2018",1.68,1.90,1.64,1.70,"9,425,760","396,400,446"
308,,"Apr 12, 2018",1.47,1.67,1.45,1.66,"9,354,580","387,974,426"
309,,"Apr 11, 2018",1.36,1.47,1.35,1.47,"4,428,730","342,544,754"
