,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD)
502,2016-12-22,7.85662578,7.86035741,7.47194179,7.52636876,220152.09472223,1656945.84914851
503,2016-12-23,7.53893445,7.60913889,7.05101683,7.12954526,245782.82859653,1752319.8005271999
504,2016-12-24,7.10885688,7.34266739,7.08433305,7.19663576,99583.61562548,716667.00936959
505,2016-12-25,7.19249256,7.25932422,7.09326177,7.10649352,73364.96495442,521367.64792585
506,2016-12-26,7.10791808,7.25921906,6.96523644,7.17379488,98273.33556732,704992.75153731
507,2016-12-27,7.18628654,7.25166677,7.04826375,7.12740301,95632.2511174,681609.59404259
508,2016-12-28,7.12416919,7.64737687,7.05324152,7.57039994,250916.67376035,1899539.5709746997
509,2016-12-29,7.57045118,8.4434853,7.57045118,8.24006224,492163.8325424,4055460.61308948
510,2016-12-30,8.22508961,8.38727001,7.97307063,8.04660696,271211.40992027,2182331.61971217
511,2016-12-31,8.06029309,8.06543091,7.83093151,7.88095758,284923.38516203,2245469.1127904
512,2017-01-01,7.88309806,8.3559994,7.88309806,8.03644481,294315.43679948,2365249.76516366
513,2017-01-02,8.04313852,8.30874037,7.97122818,8.23297867,266461.00043445,2193767.73403267
514,2017-01-03,8.23612971,9.80750366,8.14152731,9.53111048,648583.07831681,6181716.97350654
515,2017-01-04,9.52953136,11.00235548,9.34961922,11.00235548,717888.40553033,7898463.43267712
516,2017-01-05,10.98174508,11.492772,9.24489832,10.15217344,901449.19136027,9151668.53598529
517,2017-01-06,10.20267597,10.37182856,9.45738677,10.05812693,346575.84100376,3485903.79868158
518,2017-01-07,10.05071445,10.05071445,9.46014677,9.61865127,279063.74295557,2684216.82449374
519,2017-01-08,9.60915739,10.19490217,9.57365424,10.09842718,330597.82881028,3338518.10104669
520,2017-01-09,10.1043317,10.58220299,9.97676869,10.18277253,343581.85027062,3498615.82589814
521,2017-01-10,10.14884759,10.63411787,10.14884759,10.51341835,177199.42701699,1862971.70718987
522,2017-01-11,10.51523901,10.60145528,9.49032267,9.79700211,502660.33903977,4924564.39984436
523,2017-01-12,9.77952338,9.97483963,9.18794864,9.72420443,778080.54219098,7566214.25238327
524,2017-01-13,9.71814018,9.72100768,9.34725339,9.64210189,674757.3249571,6506078.87702037
525,2017-01-14,9.64201067,9.73146738,9.43830531,9.68115107,631941.11372459,6117917.390588201
526,2017-01-15,9.68041429,9.85453498,9.64766214,9.76172569,317423.37686984,3098599.93194746
527,2017-01-16,9.72043724,9.76105629,9.51439454,9.54949266,298883.17957374,2854182.72856963
528,2017-01-17,9.58478969,10.46088227,9.49649921,10.17819204,446497.40999434,4544536.38248188
529,2017-01-18,10.18460768,10.35621097,9.86667188,10.19118192,249804.26814243,2545800.73998156
530,2017-01-19,10.21485698,10.345400999999999,10.12294901,10.30306318,205803.00141320002,2120401.32602423
531,2017-01-20,10.30283708,10.62337692,10.23904973,10.5768856,219682.70281699,2323558.8150305
532,2017-01-21,10.55704759,10.94052897,10.51467402,10.94052897,163038.14094099,1783723.50454538
533,2017-01-22,10.75754306,10.89957217,10.54278002,10.65699436,232968.72322714,2482746.36930119
534,2017-01-23,10.6604144,10.77519213,10.59420776,10.73487321,143483.10393768,1540272.92808828
535,2017-01-24,10.73768193,10.73768193,10.52514051,10.55788975,208079.89592553,2196884.59995177
536,2017-01-25,10.56510925,10.57790111,10.37573197,10.45031875,164340.08333803,1717406.2545755
537,2017-01-26,10.45388514,10.55939716,10.39331863,10.49721787,188661.6856608,1980422.81778951
538,2017-01-27,10.503735699999998,10.52385784,10.39104576,10.45402507,184745.23005397,1931331.26746785
539,2017-01-28,10.45907302,10.49840474,10.38470688,10.48506445,130197.20488933,1365126.08419654
540,2017-01-29,10.49775972,10.50123061,10.36491742,10.39316114,118633.47608933,1232976.83374103
541,2017-01-30,10.38880689,10.65678842,10.35462293,10.55055193,226560.37026777,2390336.95204991
542,2017-01-31,10.53942484,10.66220327,10.47626609,10.59376735,290666.41527541,3079252.37991448
543,2017-02-01,10.59719246,10.70532314,10.4589868,10.64498995,299149.88681961,3184447.53976373
544,2017-02-02,10.64811018,10.81891616,10.53598425,10.73680186,321404.24670005,3450853.7138643
545,2017-02-03,10.7352709,10.89646351,10.58983956,10.89646351,318520.09687822,3470742.61260729
546,2017-02-04,10.90850219,11.30906564,10.89548213,11.21158348,330295.69100421,3703137.71332407
547,2017-02-05,11.22053757,11.24769957,11.02814864,11.05992428,157010.60700235,1736525.42476033
548,2017-02-06,11.06084884,11.24307149,11.04474631,11.2110903,196027.77486021,2197685.08623084
549,2017-02-07,11.21563081,11.4195425,11.20200019,11.34220365,221343.36678140002,2510521.54363906
550,2017-02-08,11.34451908,11.4835344,11.07769246,11.26555172,264494.34070615,2979674.67570923
551,2017-02-09,11.26764789,11.35949039,10.49483566,10.85495852,429433.93328686,4661487.53343516
552,2017-02-10,10.85793067,11.34881086,10.77759553,11.27348868,281995.87110994,3179077.25980636
553,2017-02-11,11.27397335,11.30968791,11.21337096,11.30968791,202320.64482623,2288183.35150397
554,2017-02-12,11.30887611,11.30887611,11.19694124,11.28214958,146249.78837209998,1650011.98815485
555,2017-02-13,11.30071276,11.30855943,11.10877304,11.24350094,190543.83651498,2142379.80556508
556,2017-02-14,11.25985107,13.30300354,11.25609844,13.05045485,785201.58074125,10247237.77440377
557,2017-02-15,13.05985135,13.05985135,12.65288389,12.95679992,369356.71431919996,4785681.04832427
558,2017-02-16,12.93100739,12.94927777,12.59400122,12.9436819,2082777.37751839,26958807.84494625
559,2017-02-17,12.94410276,12.94656933,12.62994892,12.62994892,249172.662054,3147037.99410239
560,2017-02-18,12.64128547,12.75634163,12.6363487,12.66072556,210154.32608206,2660706.24673142
561,2017-02-19,12.66047281,12.73035213,12.643457000000001,12.65350634,193850.12531825,2452883.79030721
562,2017-02-20,12.65619606,12.76339194,12.41923612,12.41923612,267417.15884769,3321116.83848311
563,2017-02-21,12.37465326,12.74703856,12.17142711,12.660042599999999,315721.6320552,3997049.3106083
564,2017-02-22,12.66619633,12.71158072,12.50835555,12.55768718,215734.97904843,2709132.3803589
565,2017-02-23,12.56393902,13.18403619,12.53869052,13.06340788,312216.85011427,4078616.0610007006
566,2017-02-24,13.05698921,13.18929847,12.75779631,13.01423531,386700.93440914,5032616.9560271
567,2017-02-25,13.01051812,13.68118777,12.91719847,13.50914685,352606.83505872,4763417.51364769
568,2017-02-26,13.50874163,14.54287209,13.36607194,14.54287209,396397.40547603,5764756.76379839
569,2017-02-27,14.52415752,15.74113697,14.2785397,15.41026782,564978.84458661,8706475.30981067
570,2017-02-28,15.50844465,16.34089955,15.22440484,15.80765818,1017022.73070788,16076747.68705006
571,2017-03-01,15.82847072,17.46915561,15.67444212,17.46915561,922778.30906299,16120157.87629483
572,2017-03-02,17.49232358,19.35806853,16.968690300000002,19.03158482,1176560.36596807,22391808.39504058
573,2017-03-03,19.02492911,20.55256922,18.30690166,19.43380774,1198189.35180261,23285381.49663402
574,2017-03-04,19.46916834,20.04302654,18.58553415,18.58553415,362067.13946376,6729211.18644214
575,2017-03-05,18.57302127,19.3203126,18.21922135,19.15579365,387975.14464772,7431971.81192898
576,2017-03-06,19.17756413,20.08666275,19.03016781,19.67753302,592100.55446319,11651078.21103604
577,2017-03-07,19.65682954,19.65682954,18.53323197,18.83789276,646248.84757306,12173966.48951849
578,2017-03-08,18.86526256,18.86526256,16.56734384,16.56734384,816830.6218042,13532713.77437334
579,2017-03-09,16.4673837,17.96373793,16.17367918,17.69733781,536712.24735152,9498377.94913535
580,2017-03-10,17.69508984,19.45157493,16.91422739,19.04977743,1456483.84169075,27745693.019825395
581,2017-03-11,19.1087818,21.41427758,18.87982671,21.37169199,867593.27062135,18541936.1558121
582,2017-03-12,21.37162802,23.18007558,21.25082815,23.18007558,931221.89141376,21585793.82593032
583,2017-03-13,23.20955436,30.59266336,23.20955436,28.31164727,2397042.10182753,67864210.48341581
584,2017-03-14,28.4022093,29.8058744,27.2102169,28.53851266,782539.83997309,22332523.13124507
585,2017-03-15,28.59680526,34.66225366,28.34496734,34.66225366,1357766.20842149,47063236.72061213
586,2017-03-16,34.95733542,46.29136649,34.95733542,45.09131626,2562658.37966428,115553639.47271934
587,2017-03-17,45.37716938,52.21317232,35.7864945,44.80793635,2683037.29405184,120221364.30568495
588,2017-03-18,44.58984019,44.81426833,31.14970002,32.85479715,1916937.88394159,62980605.31919097
589,2017-03-19,34.129718,45.19890362,34.129718,42.67409198,1501261.9874723,64064992.13724452
590,2017-03-20,43.15885509,45.27339212,41.20845707,42.32002372,841895.31490818,35629029.70059892
591,2017-03-21,42.42237798,43.63540999,41.9798889,42.81583819,544637.90915755,23319128.58993729
592,2017-03-22,42.83073437,43.03161616,39.09171623,41.56560831,599442.21947477,24916180.49819644
593,2017-03-23,41.70656335,44.288709399999995,40.74106787,43.269161499999996,567075.69598069,24536889.87321364
594,2017-03-24,43.28713742,55.30682523,42.88186703,53.52406467,1429409.62458594,76507813.18067572
595,2017-03-25,53.57107914,53.79333387,47.88220093,50.64478143,1043044.5346618999,52824762.47499881
596,2017-03-26,50.6126593,51.67927221,48.75457898,50.49086513,546548.70755796,27595717.0795812
597,2017-03-27,50.68168516,51.61913825,48.53533829,49.05479501,529125.61029991,25956148.34655652
598,2017-03-28,49.12491196,50.32207731,48.75300755,50.22371514,510777.88494509,25653162.99124388
599,2017-03-29,50.17519418,53.91546242,50.06687466,52.99835375,730215.55000904,38700222.034193106
600,2017-03-30,53.015773100000004,53.0457186,51.44338125,51.85906001,435350.84804902,22576885.75293252
601,2017-03-31,51.85407644,51.85407644,47.11810475,49.77337302,711850.69386053,35431210.1205498
602,2017-04-01,49.86133497,51.65214262,48.762636799999996,50.40293725,368576.6088533,18577343.68718651
603,2017-04-02,50.44057757,50.84352481,47.84974474,48.47536187,605604.40913694,29356892.8835552
604,2017-04-03,48.4803362,48.4803362,42.93000863,44.09605632,948723.70076157,41834973.74518008
605,2017-04-04,44.21489603,45.70361358,41.32491704,44.57847046,702882.02711741,31333405.68588143
606,2017-04-05,44.37919925,47.1993739,44.18208572,45.23638094,473670.09457426,21427120.83972985
607,2017-04-06,45.04438808,45.72321608,41.22686208,43.13270211,554583.99263289,23920706.1483714
608,2017-04-07,43.12067579,44.4623035,41.73118342,42.28448859,356931.77764864,15092677.6811574
609,2017-04-08,42.2362655,45.3831394,42.2362655,44.40312743,329305.88389544,14622211.12567369
610,2017-04-09,44.45963661,44.53520799,42.930774,43.63042374,221291.92767823,9655060.57398293
611,2017-04-10,43.65361346,44.21690393,42.58157176,43.71909126,275403.07442727,12040372.14538052
612,2017-04-11,43.76382728,44.23801268,43.52008566,43.61266585,211851.91757732,9239426.8908059
613,2017-04-12,43.60143784,48.35095289,43.29642796,46.97585196,542750.81176893,25496181.78580484
614,2017-04-13,47.01335859,50.38657095,46.98046979,50.19108129,550285.27123734,27619412.78120638
615,2017-04-14,50.14803346,50.14803346,46.98792051,47.92619385,352987.5702592,16917350.71895226
616,2017-04-15,47.79542132,49.56292728,47.44628966,49.25991881,301607.79245938,14857175.3676928
617,2017-04-16,49.15602022,49.21473783,48.17863669,48.3197843,181834.77060874,8786216.89438545
618,2017-04-17,48.46335017,48.92286509,48.08567827,48.400908799999996,210069.34091554,10167547.01176048
619,2017-04-18,48.44763837,51.31420099,48.38764288,51.10659674,438069.8599460999,22388259.67657031
620,2017-04-19,51.05354304,51.22618197,47.31401084,48.53311849,436493.63066771,21184397.09931378
621,2017-04-20,48.40486546,50.46563951,48.28455272,50.09675815,360425.12720276,18056130.42781636
622,2017-04-21,50.09424713,50.12984259,48.77980886,48.82013041,244786.17486214,11950492.97856691
623,2017-04-22,48.78720147,49.13185736,48.36722733,48.87872551,243552.89776099,11904555.2371627
624,2017-04-23,48.75031451,49.69383733,48.42335883,49.69383733,240404.6268595,11946628.42068388
625,2017-04-24,49.70582565,51.08560476,49.70582565,50.65002577,297377.86042715,15062196.295219101
626,2017-04-25,50.62578526,50.90966834,50.16024169,50.19833679999999,239239.82424193,12009441.27290313
627,2017-04-26,50.24473712,55.21953469,50.18444202,54.30086304,572253.40680931,31073853.86467991
628,2017-04-27,54.27059788,63.90982523,53.659041200000004,63.77522861,743405.80674562,47410875.27554807
629,2017-04-28,63.87148643,74.36640342,63.42467051,73.49157475,1002233.23141877,73655698.44045016
630,2017-04-29,73.23198934,74.18195366,68.58234891,70.37568069,565955.94633904,39829534.9655768
631,2017-04-30,70.30710888,80.33789316,69.74193377,80.33789316,636845.28456614,51162808.43140325
632,2017-05-01,80.15152797,83.75938642,73.94069879,78.4478855,1179026.64440487,92492147.19589956
633,2017-05-02,78.3942253,81.48195831,76.50989531,78.12209467,577990.89511597,45153859.42815711
634,2017-05-03,77.82067942,80.78735979,76.33183332,80.46838379,528575.97251945,42533654.2181004
635,2017-05-04,80.44735885,96.09622883,79.81765612,95.58486011,894027.00803322,85455446.4936208
636,2017-05-05,95.55775131,98.1433569,88.02762695,90.44611391,720950.0758680999,65207132.68503287
637,2017-05-06,90.65731669,94.14934183,90.22321041,93.93779696,382730.23092973,35952834.72329836
638,2017-05-07,93.89915577,95.85680371,79.51347039,90.19210995,590329.08814506,53243026.02689519
639,2017-05-08,90.51849264,91.93919689,85.74224644,88.53596432,566002.8160242,50111605.12615898
640,2017-05-09,88.57058962,89.00948345,76.60322876,85.8992989,777196.9403719,66760672.28629269
641,2017-05-10,86.13648592,90.11436053,85.33910376,86.30447577,397470.62319062,34303493.76760906
642,2017-05-11,86.43871943,89.28385779,85.71711414,87.75643579,430767.56304875,37802625.98868212
643,2017-05-12,87.84763378,90.29791672,84.24424259999999,85.56887493,430430.292204,36831435.83841978
644,2017-05-13,85.4992495,88.32970849,82.93621026,88.23289091,203486.56973094,17954208.30884058
645,2017-05-14,88.20533336,89.87981337,87.57222095,89.23568194,153006.8978211,13653674.86893011
646,2017-05-15,89.2113109,94.22541658,89.20989476,90.56953806,559355.00110322,50660524.06043135
