,Date,BTC Closing Price,ETH Closing Price,XRP Closing Price,DOGE Closing Price,VET Closing Price,TUSD Closing Price,XVG Closing Price,AE Closing Price,STRAT Closing Price,LRC Closing Price,AOA Closing Price,QNT Closing Price,WAN Closing Price,ELA Closing Price,KCS Closing Price
46,2018-12-27,3655.68630909,116.37643191,0.33941545,0.00242103,0.003921,1.02,0.0067,0.376048,1.28,0.037301999999999995,0.010306000000000001,1.55,0.331886,2.59,0.5998939999999999
47,2018-12-26,3862.13925499,132.13155341,0.38022889,0.00252071,0.004405,1.01,0.007517,0.425275,1.35,0.042381,0.010304,1.75,0.373582,2.79,0.629303
48,2018-12-25,3819.71721352,130.14043578,0.38253905,0.00251331,0.004378,1.01,0.007478,0.408939,1.43,0.041635000000000005,0.010565,1.6,0.361917,2.71,0.623463
49,2018-12-24,4080.83952978,139.85440152,0.40767683,0.00262836,0.004795,1.01,0.008388,0.48118299999999997,1.66,0.04721,0.013458000000000001,1.9,0.407691,3.06,0.674569
50,2018-12-23,4007.18189341,131.57186005,0.37526763,0.00261217,0.004722,1.01,0.008133,0.470947,1.45,0.045683,0.01226,1.84,0.406276,2.96,0.668723
51,2018-12-22,4028.9715984,117.38354277,0.36400239,0.00260313,0.004638,1.01,0.008020999999999999,0.457742,1.41,0.044451,0.012922999999999999,1.68,0.406875,2.99,0.620625
52,2018-12-21,3902.60087891,110.10776649,0.36038635,0.00265909,0.004476,1.02,0.007662,0.453481,1.25,0.042448,0.012395999999999999,1.59,0.378549,2.87,0.591298
53,2018-12-20,4148.54612705,116.7342222,0.38038025,0.00278437,0.004575,1.02,0.008293,0.424033,1.49,0.043272000000000005,0.014575,1.68,0.397093,3.05,0.648123
54,2018-12-19,3757.9372566,101.53665977,0.35512019,0.00282046,0.004220,1.02,0.006965000000000001,0.39944,1.09,0.040359,0.012872,1.43,0.347653,2.9,0.575543
55,2018-12-18,3702.92221906,101.44330457,0.34979502,0.00264459,0.004137,1.01,0.006606999999999999,0.389707,0.9205190000000001,0.041109,0.013643,1.42,0.344288,2.92,0.559761
56,2018-12-17,3544.93561315,95.3781921,0.32986037,0.00264862,0.004032,1.02,0.006287,0.377751,0.7212970000000001,0.038034,0.012782,1.33,0.322855,2.75,0.53315
57,2018-12-16,3251.99038152,85.48832755,0.28852071,0.00217562,0.003420,1.02,0.005625,0.337337,0.629307,0.033317,0.012622,1.04,0.288954,2.55,0.487753
58,2018-12-15,3241.34911877,84.71173886,0.28547168,0.00215478,0.003360,1.02,0.005643,0.340526,0.618314,0.0326,0.013142,1.23,0.286848,2.5,0.47658199999999995
59,2018-12-14,3237.65748004,84.43482707,0.28891217,0.00217283,0.003379,1.01,0.005703,0.330879,0.56392,0.033554,0.012778,1.16,0.289353,2.52,0.470379
60,2018-12-13,3311.7986786999995,86.4993802,0.30109382,0.0021799,0.003528,1.02,0.005561,0.371319,0.590567,0.035061,0.013788,1.1,0.308552,2.49,0.482088
61,2018-12-12,3485.72627768,90.24545129999998,0.30674415,0.00216951,0.003729,1.02,0.005903,0.395619,0.663067,0.036466000000000005,0.014943999999999999,1.29,0.329585,2.59,0.489795
