,Date,Open*,High,Low,Close**,Volume,Market Cap,Close Percent Change
206,"Jul 23, 2018",0.049390,0.051263,0.042520,0.042958,"2,110,520",-,0.2410943865021813
207,"Jul 22, 2018",0.053225,0.053646,0.048824,0.049068,"2,242,470",-,0.1422319474835887
208,"Jul 21, 2018",0.051562,0.054315,0.046860,0.052461,"2,428,440",-,0.06914893617021267
209,"Jul 20, 2018",0.053503,0.059534,0.051615,0.051821,"1,173,200",-,-0.012199538704942614
210,"Jul 19, 2018",0.057814,0.058386,0.052544,0.053487,"1,623,820",-,0.032149128731595145
211,"Jul 18, 2018",0.058653,0.061199,0.054804,0.057944,"372,600",-,0.0833286593003908
212,"Jul 17, 2018",0.054209,0.058974,0.050641,0.058636,"358,138",-,0.011942565235399716
213,"Jul 16, 2018",0.050890,0.058903,0.047288,0.054330,"384,965",-,-0.07343611433249209
214,"Jul 15, 2018",0.045947,0.051799,0.045947,0.050928,"309,181",-,-0.06261733848702378
215,"Jul 14, 2018",0.048458,0.049106,0.045197,0.046337,"307,539",-,-0.09014687401822163
216,"Jul 13, 2018",0.048554,0.053680,0.044746,0.048851,"314,451",-,0.054254699268403206
217,"Jul 12, 2018",0.049890,0.057487,0.044227,0.049259,"394,826",-,0.0083519272891035
218,"Jul 11, 2018",0.040189,0.053402,0.039852,0.049878,"361,862",-,0.012566231551594642
219,"Jul 10, 2018",0.048405,0.048602,0.039702,0.039852,"300,506",-,-0.20101046553590762
220,"Jul 09, 2018",0.040788,0.055957,0.038715,0.048504,"423,447",-,0.2171032821439327
221,"Jul 08, 2018",0.039424,0.045824,0.038277,0.040795,"241,628",-,-0.1589353455385124
222,"Jul 07, 2018",0.037021,0.039914,0.036721,0.039914,"226,678",-,-0.021595783797033974
223,"Jul 06, 2018",0.032764,0.037400,0.031152,0.037400,"237,002",-,-0.06298541865009755
224,"Jul 05, 2018",0.035931,0.036019,0.031879,0.033225,"113,626",-,-0.11163101604278092
225,"Jul 04, 2018",0.037933,0.038020,0.031553,0.035841,"50,141",-,0.07873589164785577
226,"Jul 03, 2018",0.035796,0.039852,0.033265,0.037933,"35,130",-,0.05836890711754683
227,"Jul 02, 2018",0.027001,0.041439,0.024662,0.035914,"54,548",-,-0.05322542377349537
228,"Jul 01, 2018",0.034211,0.037587,0.024787,0.026994,"27,737",-,-0.24837110875981516
229,"Jun 30, 2018",0.036364,0.038767,0.032733,0.034193,"32,793",-,0.2666888938282581
230,"Jun 29, 2018",0.036825,0.039457,0.034166,0.036324,"27,536",-,0.06232269762816944
231,"Jun 28, 2018",0.048019,0.050313,0.036368,0.036953,"7,203,620",-,0.017316374848584948
232,"Jun 27, 2018",0.055264,0.057146,0.044050,0.047746,"2,297,910",-,0.29207371525992465
233,"Jun 26, 2018",0.058166,0.058228,0.051386,0.055370,"829,472",-,0.15967829765844277
