,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD),Close Percent Change
1731,2018-12-27,3864.78818595,3881.3575514,3646.28241761,3655.68630909,126717.76704786,463240406.11546785,-0.053455593459830975
1730,2018-12-26,3832.62263762,3900.92996535,3765.46854517,3862.13925499,113365.76597388,437834374.93983865,0.011106068616767216
1729,2018-12-25,4088.16800139,4089.77994223,3768.42934656,3819.71721352,144615.83348228,552391588.4994327,-0.0639874012086129
1728,2018-12-24,4002.94736103,4276.51720454,4002.94736103,4080.83952978,156207.86361604,637459224.7075317,0.018381405768261416
1727,2018-12-23,4035.32948515,4098.42392164,3982.26957714,4007.18189341,104643.18978019,419324295.3561732,-0.005408254800965295
1726,2018-12-22,3902.93251243,4029.07070349,3865.6199062,4028.9715984,107329.52572207,432427610.80366266,0.03238115385381035
1725,2018-12-21,4144.42310362,4205.11383643,3859.10548511,3902.60087891,174725.60459856,681884298.074242,-0.0592846844672521
1724,2018-12-20,3752.4563915,4200.98264562,3736.30188381,4148.54612705,228136.55832913,946435035.4957207,0.10394236086937858
1723,2018-12-19,3703.39131477,3957.10346536,3687.53814508,3757.9372566,209456.08033467,787122807.9105313,0.014857195016633629
1722,2018-12-18,3545.3787729,3705.48691173,3489.80790096,3702.92221906,133973.90569229,496094952.1621422,0.044566847793778175
1721,2018-12-17,3254.46093435,3613.01779119,3251.96910101,3544.93561315,163554.76358856,579791106.1453763,0.0900818259779339
1720,2018-12-16,3239.28201864,3307.70286949,3235.59999565,3251.99038152,94846.37017806,308439483.54148227,0.003282973342296991
1719,2018-12-15,3242.65726039,3273.20454102,3189.10801549,3241.34911877,101302.51839379,328356828.72494036,0.001140219048110902
1718,2018-12-14,3313.6981625999997,3330.38936126,3201.37544481,3237.65748004,139876.02942925,452870672.96049315,-0.02238698841715303
1717,2018-12-13,3487.92811532,3492.0269853,3286.4722081,3311.7986786999995,135201.57508693,447760397.73074406,-0.04989709034059942
1716,2018-12-12,3421.60295293,3536.28544088,3404.88414198,3485.72627768,126416.32987749,440652722.9816376,0.019395042234351845
1715,2018-12-11,3499.18567434,3510.55239065,3382.65464683,3419.40673955,143088.69413149,489278445.06630546,-0.02304913825512056
1714,2018-12-10,3611.85442288,3652.21892779,3466.13255798,3500.08058076,154509.34554306,540795159.8813313,-0.031995736211743564
1713,2018-12-09,3476.4250898,3692.84534134,3468.73036421,3615.7697974,145488.93640293,526054502.10221,0.03891863255065009
1712,2018-12-08,3416.06438369,3526.9329206,3350.88773323,3480.32048335,159366.47948041,554646422.8950537,0.01945632272564657
1711,2018-12-07,3503.5023704000005,3503.5023704000005,3267.95414405,3413.898571,258410.23101754,882186318.4036189,-0.02650570420545506
1710,2018-12-06,3747.06773391,3874.15900844,3506.85010251,3506.85010251,209758.93142271,735593130.1621145,-0.06551113638880479
1709,2018-12-05,3946.15699876,3957.77102631,3746.81399002,3752.69330547,145573.53513234,546292830.7447295,-0.04811323387950539
1708,2018-12-04,3873.7009888000002,4058.40994386,3820.77964578,3942.37365098,150758.71293873,594347177.5448064,0.017305457036826066
1707,2018-12-03,4137.94931642,4147.24795615,3823.78789864,3875.30964639,157539.08735399,610512744.9059149,-0.0620748855601041
1706,2018-12-02,4190.94087387,4291.45457411,4094.56969393,4131.7900403,119477.39162611,493655496.7622416,-0.014871890969225919
1705,2018-12-01,4015.8195371,4282.73626284,3960.8164331,4194.16520798,121360.14915110002,509004515.2052407,0.04538102163114166
1704,2018-11-30,4283.16710832,4326.19725175,3944.09128655,4012.0923579000014,176815.07503156,709398411.2961426,-0.061256073876656436
1703,2018-11-29,4261.75269633,4420.25344021,4146.54097854,4273.89434568,174477.78136224,745699603.2107272,0.003201509693021798
1702,2018-11-28,3816.29199427,4360.11768436,3816.29199427,4260.25509769,229948.1507971,979637781.6372273,0.1171564050489955
1701,2018-11-27,3778.02739536,3858.8062016999997,3650.68343654,3813.48133389,189629.24179657,723147573.9518372,0.008528577648240443
1700,2018-11-26,3998.82707334,4110.30986326,3628.35799303,3781.23279638,241098.99394073,911651423.0627428,-0.058519862439501476
1699,2018-11-25,3855.72412489,4118.61352094,3559.57432974,4016.264014,263397.41258446,1057873549.5425434,0.04047687072548345
1698,2018-11-24,4338.91819606,4411.54346379,3772.69000443,3860.02238685,162087.93492267,625663057.43913,-0.11115170427415766
1697,2018-11-23,4331.64004991,4400.44799503,4195.10813189,4342.7235057,146753.87288592,637311493.3348125,-0.001587379657166932
1696,2018-11-22,4595.31501726,4631.67513219,4349.62801673,4349.62801673,114444.96365389,497793020.2821664,-0.05487153897423713
1695,2018-11-21,4449.01149378,4672.63497584,4332.97508291,4602.15536416,173490.31275334,798429373.4680697,0.03609881352687805
1694,2018-11-20,4820.83668824,4946.50658363,4191.64778439,4441.81124819,341688.21042777,1517714536.4528985,-0.0818521604795549
1693,2018-11-19,5612.76417445,5612.76417445,4796.38624837,4837.79524059,235909.39901309,1141281367.757032,-0.1379790950141263
1692,2018-11-18,5558.4492656,5640.26330783,5558.4492656,5612.15535796,65250.74125997,366197297.1726929,0.009827161615770352
1691,2018-11-17,5575.40408599,5575.40408599,5516.06090558,5557.54050919,63351.84920809,352080468.3062225,-0.002848517432324393
1690,2018-11-16,5645.24402657,5655.19871751,5486.25644841,5573.4164832,89649.57748649,499654432.87527215,-0.012969672602154205
1689,2018-11-15,5749.28648639,5769.85969359,5325.26797699,5646.65170714,165632.31446476,935267991.2302259,-0.011424263145895508
1688,2018-11-14,6347.11802782,6360.15558206,5503.34951624,5711.90602463,214464.15190352,1224999081.3251655,-0.10224540539116334
1687,2018-11-13,6375.48142448,6380.31144036,6338.64259821,6362.43585823,58846.76126516,374408744.0139437,-0.002105537392380952
1686,2018-11-12,6404.47988049,6435.95061677,6359.81993277,6375.86047086,57756.07950395,368244704.26095134,-0.004521839769203506
1685,2018-11-11,6403.510338600001,6417.06786161,6341.69295999,6404.82204992,48158.12950019,308444249.70579344,0.0008509953737638742
1684,2018-11-10,6409.86107155,6437.46863498,6396.60539675,6399.37621037,37348.4836857,239006997.99147004,-0.0016216576013994286
1683,2018-11-09,6449.52756361,6460.14799644,6388.76897135,6409.77066369,60320.50734834,386640618.4204632,-0.006016562595489661
1682,2018-11-08,6532.22616753,6549.98881869,6443.81871398,6448.56888202,68379.65369638,440950906.99000126,-0.011331497482157893
1681,2018-11-07,6471.57230774,6555.60352543,6471.57230774,6522.47832878,65103.86946290001,424638577.69125307,0.007938313370012162
1680,2018-11-06,6441.92460285,6471.10864054,6424.24180651,6471.10864054,54294.02922802,351342561.6673541,0.004467211969408025
