,Date,BTC Pct Change,ETH Pct Change,XRP Pct Change,WAN Pct Change,ELA Pct Change,KCS Pct Change
220,2018-07-06,True,True,True,False,False,False
221,2018-07-05,False,True,False,True,True,False
222,2018-07-04,True,True,True,True,True,False
223,2018-07-03,False,False,False,False,False,False
224,2018-07-02,True,True,True,True,False,False
225,2018-07-01,False,False,False,False,False,False
226,2018-06-30,True,True,True,False,False,True
227,2018-06-29,True,True,True,False,False,False
228,2018-06-28,False,False,False,False,False,False
229,2018-06-27,True,True,True,True,True,True
230,2018-06-26,False,False,False,False,False,True
231,2018-06-25,True,True,True,True,True,True
232,2018-06-24,False,False,False,False,False,False
233,2018-06-23,True,True,True,True,True,True
234,2018-06-22,False,False,False,True,True,False
235,2018-06-21,False,False,False,True,True,True
236,2018-06-20,True,False,False,True,True,False
237,2018-06-19,True,True,True,False,True,False
238,2018-06-18,True,True,True,False,True,True
239,2018-06-17,False,False,False,False,False,False
240,2018-06-16,True,True,True,True,True,False
241,2018-06-15,False,False,False,False,False,False
242,2018-06-14,True,True,True,True,True,True
243,2018-06-13,False,False,False,False,False,False
244,2018-06-12,False,False,False,True,True,True
245,2018-06-11,True,True,True,True,True,True
246,2018-06-10,False,False,False,False,True,False
247,2018-06-09,False,False,False,True,True,True
248,2018-06-08,False,False,False,True,True,False
249,2018-06-07,True,False,True,True,True,True
250,2018-06-06,True,False,False,True,False,True
251,2018-06-05,True,True,True,False,True,False
252,2018-06-04,False,False,False,True,False,False
253,2018-06-03,True,True,True,True,True,True
254,2018-06-02,True,True,True,False,False,True
255,2018-06-01,True,True,True,False,True,False
256,2018-05-31,True,True,True,True,False,False
257,2018-05-30,False,False,True,False,False,False
258,2018-05-29,True,True,True,True,False,True
259,2018-05-28,False,False,False,False,False,False
260,2018-05-27,True,False,False,True,True,True
261,2018-05-26,False,True,True,True,False,True
262,2018-05-25,False,False,False,True,True,False
263,2018-05-24,True,True,True,True,False,True
264,2018-05-23,False,False,False,False,False,False
265,2018-05-22,False,False,False,True,True,True
266,2018-05-21,False,False,False,True,True,True
267,2018-05-20,True,True,True,True,True,True
268,2018-05-19,True,True,False,False,False,False
269,2018-05-18,True,True,True,True,False,True
270,2018-05-17,False,False,False,False,False,False
271,2018-05-16,False,False,True,True,True,True
272,2018-05-15,False,False,False,True,True,True
273,2018-05-14,False,True,False,True,True,False
274,2018-05-13,True,True,True,True,False,True
275,2018-05-12,True,True,True,False,False,False
276,2018-05-11,False,False,False,False,True,False
277,2018-05-10,False,False,False,True,True,True
278,2018-05-09,True,True,False,True,True,True
279,2018-05-08,False,False,False,False,False,True
280,2018-05-07,False,False,False,True,True,True
281,2018-05-06,False,False,False,True,True,True
282,2018-05-05,True,True,True,True,False,True
283,2018-05-04,False,True,True,True,False,True
284,2018-05-03,True,True,True,True,False,False
285,2018-05-02,True,True,True,False,False,False
286,2018-05-01,False,True,True,False,True,False
287,2018-04-30,False,False,False,False,False,False
288,2018-04-29,True,True,True,True,True,True
289,2018-04-28,True,True,True,True,False,True
290,2018-04-27,False,False,False,False,False,False
291,2018-04-26,True,True,True,True,True,True
292,2018-04-25,False,False,False,False,False,False
293,2018-04-24,True,True,True,True,True,True
294,2018-04-23,True,True,True,False,False,False
295,2018-04-22,False,True,False,False,False,False
296,2018-04-21,True,False,False,False,True,False
297,2018-04-20,True,True,True,True,False,False
298,2018-04-19,True,True,True,False,False,False
299,2018-04-18,True,True,True,False,False,False
300,2018-04-17,False,False,False,False,False,False
301,2018-04-16,False,False,False,True,True,True
302,2018-04-15,True,True,True,True,True,True
303,2018-04-14,True,True,True,False,False,False
304,2018-04-13,False,False,True,True,True,False
305,2018-04-12,True,True,True,True,True,True
306,2018-04-11,True,True,True,False,False,False
307,2018-04-10,True,True,True,True,False,False
308,2018-04-09,False,False,False,False,False,False
309,2018-04-08,True,True,True,True,True,True
310,2018-04-07,True,True,True,False,True,False
311,2018-04-06,False,False,False,False,False,False
312,2018-04-05,True,True,False,True,False,True
313,2018-04-04,False,False,False,False,False,True
314,2018-04-03,True,True,True,True,True,True
315,2018-04-02,True,True,True,False,False,False
316,2018-04-01,False,False,False,False,False,False
317,2018-03-31,True,True,True,True,True,True
318,2018-03-30,False,True,False,True,True,False
319,2018-03-29,False,False,False,False,True,True
320,2018-03-28,True,False,True,True,True,True
321,2018-03-27,False,False,False,False,False,False
322,2018-03-26,False,False,False,True,True,True
323,2018-03-25,False,False,True,True,True,True
324,2018-03-24,False,False,False,True,True,False
